careerId,careerName,bucket,riasec_profile,primarySubjects,tags,minQualification,top5_college_courses,baseParagraph,microprojects,why_fit
c001,Mechanical Engineer,Engineering & Core Technology,R,"[""Mathematics"",""Physics""]","[""mechanical"",""hands_on""]",B.Tech / Diploma,"B.Tech Mechanical,B.E Mechanical,B.Sc Mechanical Engineering,Diploma Mechanical,M.Tech Mechanical","You enjoy building and fixing things and like hands-on work. Mechanical engineering applies physics and math to design machines and systems. It's ideal if you like practical problem solving.","Build a small Arduino robotic arm;Design a gear mechanism model","Likes building/fixing;Comfort with physical systems;Good spatial reasoning"
c002,Civil Engineer,Engineering & Core Technology,R,"[""Mathematics"",""Physics""]","[""construction"",""planning""]",B.Tech / Diploma,"B.Tech Civil,B.E Civil,Diploma Civil,B.Sc Civil Engineering,M.Tech Structural","Civil engineers design roads, bridges and buildings. If you like drawing plans and seeing structures built, this fits.","Model a small truss bridge;Survey a local site and document","Enjoys applied maths;Likes outdoor/site work;Good at spatial tasks"
c003,Electrical Engineer,Engineering & Core Technology,RI,"[""Mathematics"",""Physics""]","[""electronics"",""power""]",B.Tech / Diploma,"B.Tech Electrical,B.E Electrical,Diploma Electrical,B.Sc Electrical,M.Tech Power Systems","Designs electrical systems and circuits. Great if you like circuits and electronics.","Assemble a basic PCB;Build a simple motor controller","Interested in electronics;Good with math;Enjoys troubleshooting"
c004,Automotive Engineer,Engineering & Core Technology,R,"[""Mathematics"",""Physics""]","[""vehicles"",""design""]",B.Tech / Diploma,"B.Tech Automotive,B.E Automotive,Diploma Automotive,BSc Automotive,M.Tech Automotive","Designs vehicles and automotive systems. Ideal for hands-on students fascinated by vehicles.","Disassemble/rebuild small engine model;Design a car component in CAD","Loves vehicles;Mechanically inclined;Good spatial reasoning"
c005,Materials/Metallurgy Engineer,Engineering & Core Technology,RI,"[""Chemistry"",""Physics""]","[""materials"",""research""]",B.Tech / Diploma,"B.Tech Materials,BSc Materials Engineering,Diploma Materials,M.Tech Metallurgy","Studies materials used in engineering — metals, polymers and ceramics.","Test metal samples;Create a small composite material sample","Likes lab work;Interest in chemistry;Problem solver"
c010,Data Scientist,Data AI & Analytics,IA,"[""Mathematics"",""Computer Science"",""Statistics""]","[""data"",""new_age""]",B.Sc/B.Tech,"B.Sc Statistics,B.Tech CS (AI),B.Stat,Integrated M.Tech Data Science,BCA + PG Diploma Data Science","Work on data to build models and find insights. Great for people who love math and problem-solving.","Kaggle beginner model;Sentiment analysis on tweets","Strong analytical;Comfort with math & coding;Curious about patterns"
c011,Machine Learning Engineer,Data AI & Analytics,IA,"[""Mathematics"",""Computer Science""]","[""ml"",""new_age""]",B.Tech / M.Tech,"B.Tech CS (AI),B.Sc Computer Science,Integrated M.Tech (AI),B.Tech + PGDSAI,Online specialization","Builds and deploys ML models. Ideal for students who like coding + maths.","Train a simple classifier;Implement linear regression project","Strong math skills;Likes coding;Research/experiment tendency"
c012,Data Analyst,Data AI & Analytics,IA,"[""Mathematics"",""Statistics"",""Computer Science""]","[""analytics""]",B.Sc / BCA,"B.Sc Economics (with stats),B.Sc Statistics,BCA,B.Com(H),PG Diploma Analytics","Analyzes data to create business insights. Useful for students who like spreadsheets and storytelling.","Sales data dashboard in Excel;Analyze school exam trends","Comfort with numbers;Good communication;Curiosity"
c013,AI Ethics Officer,Data AI & Analytics,AE,"[""English"",""Social Studies""]","[""ethics"",""policy"",""new_age""]",MA / PG,"MA Philosophy,MA Ethics,LLB + specialization,PG Diploma Data Ethics,MA Sociology","Works at the intersection of technology and ethics. Good for students interested in AI and society.","Write a short policy brief on AI fairness;Host a debate on AI ethics","Interest in society;Good writing;Values-driven"
c014,NLP Engineer,Data AI & Analytics,IA,"[""Computer Science"",""Mathematics"",""English""]","[""nlp"",""new_age""]",B.Tech / M.Tech,"B.Tech CS (NLP),BSc CS + NLP electives,Integrated M.Tech (NLP),M.Tech CS,PG Diploma NLP","Builds systems that understand language. Ideal for coding + language lovers.","Build a chatbot;Sentiment analysis for news articles","Loves language & coding;Analytical;Research leaning"
c020,Frontend Developer,Computer Science & Software Development,EAC,"[""Computer Science"",""Mathematics""]","[""web"",""ui""]",B.Tech / BCA,"B.Tech CS,B.Sc Computer Science,BCA,Integrated M.Tech CS,Diploma Software Engg","Builds web interfaces and visual apps. Good for students who enjoy design + code.","Create a personal website;Build a small React app","Likes design & coding;Detail oriented;Good UX sense"
c021,Backend Developer,Computer Science & Software Development,IR,"[""Computer Science"",""Mathematics""]","[""servers"",""logic""]",B.Tech / BCA,"B.Tech CS,B.Sc CS,BCA,Diploma Software Engineering,Integrated M.Tech CS","Builds server-side systems and logic. Great for logical problem solvers.","Create a REST API;Build a CRUD app with DB","Enjoys logic & algorithms;Comfort with code;Systematic"
c022,Fullstack Developer,Computer Science & Software Development,IRE,"[""Computer Science"",""Mathematics""]","[""web"",""systems""]",B.Tech / BCA,"B.Tech CS,BCA,BSc CS,Integrated M.Tech,PG Diploma Fullstack","Combines frontend + backend skills — versatile role.","Build a fullstack app;Deploy app to free cloud","Versatile;Likes end-to-end building;Good tolerance for complexity"
c023,Mobile App Developer,Computer Science & Software Development,IE,"[""Computer Science"",""Mathematics""]","[""mobile"",""apps""]",B.Tech / BCA,"B.Tech CS,BCA,BSc CS,Diploma Mobile Dev,Integrated M.Tech","Builds mobile apps on Android/iOS.","Build a simple Expo app;Implement UI and local storage","Likes mobile UX;Enjoys coding;Product mindset"
c030,UX/UI Designer,Design Media & Creative Industries,AE,"[""Art / Design"",""Computer Science""]","[""design"",""creative""]",B.Des / Diploma,"B.Des Product,B.Des Graphic,BFA,BA Multimedia,Diploma Animation","Designs interfaces and visual experiences. Great if you love visuals and user empathy.","Design a simple app UI;Create micro-interactions prototypes","Strong visual sense;Empathy;Detail oriented"
c031,Graphic Designer,Design Media & Creative Industries,A,"[""Art / Design""]","[""creative"",""visual""]",B.Des / BFA,"B.Des Graphic,BFA,BA Multimedia,Diploma Design,UGC BFA","Creates visual materials for media/brands.","Design a logo pack;Create posters for an event","Visual eye;Creative storytelling;Good tools"
c032,Animation & VFX Artist,Design Media & Creative Industries,A,"[""Art / Design"",""Computer Science""]","[""animation"",""creative""]",Diploma / B.Des,"B.Des Animation,BA Multimedia,Diploma VFX,BFA,MFA Animation","Creates animations and VFX for films/games.","Animate a 10-second clip;Create a short storyboard","Creative;Patient;Detail oriented"
c040,Doctor (MBBS),Healthcare & Life Sciences,SI,"[""Biology"",""Chemistry""]","[""medicine"",""service""]",MBBS,"MBBS,MBBS + specialization,BSc Nursing,BPT,MD","Treats patients and works in healthcare. Long study route but stable career.","Volunteer at a clinic;Read simple medical cases","Service oriented;Good science marks;Resilient"
c041,Dentist (BDS),Healthcare & Life Sciences,SI,"[""Biology"",""Chemistry""]","[""medicine"",""hands_on""]",BDS,"BDS,B.Sc Dental,Diploma Dental,MDent","Dental specialist treating oral health.","Assist in a dental clinic;Study tooth anatomy models","Hands on;Good fine motor skills;Interest in health"
c042,Clinical Research Associate,Healthcare & Life Sciences,IR,"[""Biology"",""Chemistry"",""Math""]","[""research"",""lab""]",MSc / BSc,"BSc Life Sciences,MSc Clinical Research,PG Diploma Clinical Research,BPharm,BSc Biotechnology","Works on clinical trials and research compliance.","Design a simple clinical study outline;Summarize a research paper","Research leaning;Detail oriented;Good writing"
c050,Chartered Accountant,Business Finance & Consulting,CI,"[""Mathematics"",""Accountancy""]","[""finance"",""numbers""]",CA / Commerce,"CA,B.Com(H),B.Com + CA Prep,Integrated Finance,PG Diploma Finance","Handles accounting, audit, tax and finance.","Prepare sample financial statements;Learn GST basics","Numerical;Detail oriented;Organized"
c051,Finance Analyst,Business Finance & Consulting,CI,"[""Mathematics"",""Economics""]","[""finance"",""analysis""]",B.Com / BBA,"B.Com,BBA,BMS,B.Com(H),BSc Economics","Analyzes financial data and supports decisions.","Analyze company reports;Build small valuation model","Math skills;Analytical;Interest in markets"
c060,Lawyer,Law Public Policy & Social Sciences,ES,"[""English"",""Social Studies""]","[""law"",""advocacy""]",LLB / BA LLB,"BA LLB,LLB,LLM,BA Political Science,MA Public Policy","Represents clients in legal matters and advises on law.","Write a short case brief;Debate a legal issue","Good communication;Interest in rules;Argumentative skills"
c070,Architect,Architecture Planning & Built Environment,RA,"[""Mathematics"",""Art / Design""]","[""design"",""built_environment""]",B.Arch,"B.Arch,M.Arch,BDes Interior,Diploma Architecture,M.Plan","Designs buildings and spaces.","Design a small house plan;Model a room layout","Spatial sense;Creative & technical;Design interest"
c080,Chef,Culinary & Hospitality,R,"[""Chemistry"",""Physical Education""]","[""food"",""hands_on""]",Diploma / BHM,"BHM,Diploma Culinary,BSc Hospitality,BA Tourism,Certificate Culinary","Creates food experiences in restaurants and hotels.","Create a sample menu;Cook a three-course meal","Hands-on;Creative;Likes service"
c090,Electrician Technician,Trades Vocational & Skilled Services,R,"[""Physics""]","[""trades"",""hands_on""]",ITI / Diploma,"ITI Electrician,Diploma Electrical,Apprenticeship Certificate,Skill India Courses","Installs and maintains electrical systems.","Install a basic wiring lesson;Practice circuit troubleshooting","Hands-on;Practical;Good with tools"
c100,School Teacher,Education & Training,SE,"[""Any""]","[""teaching"",""service""]",B.Ed / BA+BEd,"B.Ed,BA+BEd,BSc+BEd,PG Diploma Education,Certificate Teaching","Teaches school students and plans lessons.","Create a lesson plan;Teach a short demo class","Enjoy teaching;Patient;Good communication"
c110,Sustainability Consultant,Environment & Sustainability,IA,"[""Environmental Science"",""Chemistry""]","[""sustainability"",""new_age""]",MSc / BTech,"B.Tech Environmental,BSc Environmental Science,MSc Sustainability,PG Diploma Renewables,BSc Horticulture","Helps organisations reduce environmental impact.","Audit a local shop's waste;Design a small recycling plan","Values environment;Problem solver;Analytical"
c120,Actor,Arts Performance & Entertainment,AE,"[""Art / Design"",""English""]","[""performance"",""creative""]",Diploma / BFA,"BFA,BA Performing Arts,Diploma Acting,Film School Courses,Certificate Theatre","Performs in theatre, film or TV.","Act in a short play;Record a monologue reel","Creative;Confident;Expressive"
c130,Product Manager,Entrepreneurship & Product Management,EE,"[""Mathematics"",""Computer Science"",""English""]","[""product"",""new_age""]",MBA / B.Tech,"B.Tech + MBA,BBA + MBA,PG Diploma Product Management,Online PM Courses,Integrated Programs","Defines product vision and leads cross-functional teams.","Design a product spec;Run a small user interview","Leader;Product mindset;Good communicator"
c140,Cybersecurity Analyst,Cybersecurity Networks & Emerging Tech,IR,"[""Computer Science"",""Mathematics""]","[""security"",""new_age""]",B.Tech / Certifications,"B.Tech CS,Cybersecurity Certifications (CEH),BSc IT,Integrated M.Tech,PG Diploma Cybersec","Protects systems and data from attacks.","Set up a penetration test lab;Practice CTF challenges","Likes problem solving;Security interest;Technical"
c141,Blockchain Developer,Cybersecurity Networks & Emerging Tech,IR,"[""Computer Science"",""Mathematics""]","[""blockchain"",""new_age""]",B.Tech / Certifications,"B.Tech CS,BSc IT,Certification Blockchain,PG Diploma Blockchain,Integrated CS","Builds distributed ledger applications.","Write a simple smart contract;Build a token demo","Interest in crypto;Strong coding;Analytical"
c150,Drone Systems Operator,Cybersecurity Networks & Emerging Tech,R,"[""Physics"",""Computer Science""]","[""drones"",""new_age""]",Diploma / Certification,"Diploma UAV Operations,Certificate Drone Pilot,ILT Drone Systems,B.Tech Embedded Systems,PG Diploma Robotics","Operates and programs drones for mapping/surveys.","Fly a small drone;Run mapping mission;Analyze drone data","Hands-on;Interest in robotics;Tech savvy"